Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
52.0,39500.0,74.6146,1510,42.8654,2.0,9.0,311,9.0,-999.0,1775,3131,4104,2623
58.0,47500.0,74.614,1372,42.8365,3.0,4.0,374,4.0,-999.0,1229,1148,4104,2623
106.0,76500.0,74.6097,1257,42.8499,3.0,10.0,2728,2.0,-999.0,2341,3131,4104,2623
65.0,42500.0,74.6621,1510,42.8778,3.0,4.0,1189,2.0,-999.0,1775,3131,4104,2623
49.0,29481.0,74.5474,1510,42.8886,3.0,2.0,1189,2.0,1973.0,1775,1148,4104,3143
80.0,74292.0,74.6016,1372,42.8652,2.0,9.0,1189,4.0,2017.0,1775,771,4104,2623
37.0,25590.0,74.6905,1510,42.8757,1.0,4.0,51,1.0,1977.0,1229,1148,4104,2623
102.0,76500.0,74.5996,103,42.8836,2.0,12.0,1189,12.0,2014.0,1775,3131,4104,2623
30.0,15330.0,74.5257,338,42.8893,1.0,2.0,161,2.0,1969.0,1229,716,4104,3143
81.0,59000.0,74.5804,1372,42.8802,2.0,10.0,2728,9.0,2016.0,1775,771,4104,3143
80.0,86000.0,74.6218,1510,42.8295,3.0,12.0,2728,3.0,2019.0,1775,1148,4104,3143
100.0,70000.0,74.6187,1510,42.8775,3.0,7.0,1189,3.0,-999.0,2341,3131,4104,3143
37.4,32800.0,74.6247,1510,42.8138,1.0,10.0,2728,9.0,2020.0,2341,1148,861,3143
40.0,34000.0,74.6877,1510,42.8551,1.0,9.0,311,3.0,-999.0,2341,3131,4104,2623
120.0,87000.0,74.6143,1510,42.835,3.0,9.0,2728,6.0,-999.0,1775,771,220,2623
85.0,68000.0,74.5995,939,42.8836,2.0,12.0,1189,12.0,2014.0,1775,3131,4104,2623
35.0,29500.0,74.5773,338,42.8723,1.0,5.0,161,1.0,1977.0,1229,1148,4104,2623
34.0,28500.0,74.6322,194,42.8737,1.0,5.0,473,1.0,-999.0,1229,716,4104,2623
73.0,52999.0,74.5884,1257,42.8545,2.0,10.0,2728,9.0,2018.0,2341,3131,4104,3143
44.0,39500.0,74.6267,1372,42.839,2.0,4.0,374,1.0,-999.0,1229,3131,4104,2623
58.0,39500.0,74.6231,338,42.8362,3.0,4.0,374,4.0,1980.0,1229,1148,4104,3143
113.0,69000.0,74.6381,939,42.8128,3.0,12.0,2728,11.0,2015.0,1775,716,4104,3143
63.0,46500.0,74.6786,338,42.8798,3.0,9.0,473,8.0,1989.0,1775,1148,4104,3143
116.2,99000.0,74.6208,939,42.8806,3.0,17.0,2728,14.0,-999.0,409,716,4104,3143
135.0,85000.0,74.6174,338,42.8848,3.0,5.0,1189,2.0,1973.0,1229,3131,4104,2623
58.0,42500.0,74.5719,338,42.8691,3.0,5.0,51,4.0,1988.0,1229,1148,4104,3143
106.0,159000.0,74.62,1372,42.8739,3.0,13.0,2728,7.0,2017.0,1775,771,4104,3143
55.0,45500.0,74.6478,1372,42.8768,3.0,10.0,2728,4.0,-999.0,1229,771,4104,3143
86.0,64500.0,74.5995,103,42.8836,2.0,12.0,1189,12.0,2014.0,2341,3131,4104,2623
44.0,36500.0,74.6593,1372,42.8785,2.0,4.0,374,3.0,-999.0,1229,771,4104,2623
116.0,77000.0,74.5865,1510,42.8267,3.0,9.0,1189,1.0,2015.0,409,771,277,3143
37.0,34000.0,74.5754,1510,42.8798,1.0,9.0,1189,4.0,1992.0,2341,3131,4104,2623
55.0,62500.0,74.5892,1372,42.8751,3.0,5.0,1189,4.0,1966.0,1775,716,4104,2623
125.0,125000.0,74.5956,1372,42.8723,4.0,10.0,2728,8.0,2017.0,409,771,4104,3143
46.0,39000.0,74.6252,1510,42.8384,2.0,4.0,51,2.0,1970.0,1229,771,4104,3143
46.2,36960.0,74.59,38,42.8802,1.0,14.0,2728,3.0,2020.0,1775,716,4104,3143
48.0,48000.0,74.6216,1372,42.8301,1.0,10.0,2728,7.0,2015.0,1229,1148,4104,3143
98.0,89000.0,74.5944,1372,42.8654,4.0,10.0,2728,10.0,-999.0,1775,1148,4104,3143
80.0,78000.0,74.6041,1510,42.8712,2.0,14.0,1189,11.0,-999.0,2341,3131,861,2623
47.0,27000.0,74.5395,1257,42.8582,2.0,10.0,2728,8.0,2017.0,2341,3131,4104,3143
139.6,140000.0,74.6129,1372,42.8525,3.0,9.0,2728,7.0,2015.0,409,1148,4104,3143
76.0,87000.0,74.5914,1372,42.8718,2.0,12.0,2728,7.0,2017.0,1775,771,4104,2623
82.0,75500.0,74.5929,1372,42.8657,2.0,10.0,2728,7.0,-999.0,2341,716,4104,3143
58.0,41000.0,74.6143,1510,42.8327,3.0,4.0,374,1.0,-999.0,2341,3131,4104,3143
62.0,44500.0,74.6181,1510,42.835,3.0,9.0,473,9.0,-999.0,1775,3131,4104,3143
80.0,63500.0,74.637,1372,42.8763,2.0,14.0,2728,9.0,-999.0,2341,3131,4104,3143
35.0,32000.0,74.6351,1510,42.8685,1.0,5.0,473,3.0,-999.0,2341,3131,4104,3143
62.0,54500.0,74.6129,338,42.8264,3.0,9.0,473,8.0,-999.0,1775,1148,4104,3143
36.0,23800.0,74.6914,338,42.8539,1.0,9.0,473,9.0,-999.0,1229,3131,4104,3143
50.0,41500.0,74.5655,338,42.8396,2.0,5.0,473,2.0,-999.0,2341,3131,4104,3143
58.0,41500.0,74.6129,1510,42.8326,3.0,4.0,374,1.0,-999.0,1229,771,4104,3143
34.0,29000.0,74.5679,1510,42.8463,1.0,9.0,473,9.0,-999.0,2341,3131,4104,3143
34.0,32000.0,74.6205,338,42.8702,1.0,5.0,473,2.0,-999.0,2341,3131,4104,3143
45.0,29500.0,74.6298,1510,42.8844,1.0,9.0,208,5.0,-999.0,1229,1148,4104,3143
87.0,90000.0,74.6003,1372,42.8822,3.0,13.0,2728,7.0,-999.0,1775,771,4104,3143
64.0,46400.0,74.5554,1510,42.8651,3.0,9.0,473,3.0,-999.0,2341,1148,4104,3143
58.0,38000.0,74.6207,1510,42.8677,3.0,5.0,374,5.0,-999.0,1229,1148,4104,3143
68.0,45000.0,74.569,1510,42.8336,3.0,5.0,473,1.0,-999.0,1775,3131,861,3143
50.0,41500.0,74.6012,1510,42.8319,2.0,5.0,473,2.0,-999.0,2341,3131,4104,3143
36.0,24000.0,74.6279,194,42.8342,1.0,5.0,1189,4.0,-999.0,1229,716,4104,2623
55.0,53500.0,74.5848,1372,42.8682,2.0,9.0,2728,7.0,-999.0,2341,771,4104,3143
75.0,57500.0,74.6327,1372,42.8697,2.0,9.0,2728,9.0,2019.0,2341,771,4104,3143
97.0,55000.0,74.5648,939,42.8302,3.0,13.0,2728,11.0,-999.0,2341,3131,4104,3143
55.0,44500.0,74.5833,1372,42.8245,2.0,4.0,2728,2.0,-999.0,2341,3131,220,2623
67.0,49000.0,74.6417,1372,42.8462,2.0,9.0,57,5.0,2019.0,1775,771,277,2623
73.0,43070.0,74.5817,939,42.8821,2.0,12.0,2728,7.0,-999.0,2341,3131,4104,3143
44.0,27000.0,74.6929,1510,42.8713,1.0,9.0,57,3.0,-999.0,1229,771,4104,3143
63.0,44000.0,74.5883,103,42.8626,2.0,12.0,2728,8.0,2019.0,409,716,4104,3143
47.0,35000.0,74.5542,1510,42.8652,2.0,5.0,1189,3.0,1978.0,1775,1148,4104,3143
35.0,31000.0,74.5832,1372,42.869,1.0,5.0,1189,5.0,-999.0,1229,716,4104,3143
36.0,28000.0,74.5659,1510,42.8373,1.0,12.0,1189,5.0,2013.0,1229,3131,861,3143
70.0,32800.0,74.5344,1372,42.8869,2.0,5.0,208,2.0,2019.0,1775,771,277,3143
75.0,50250.0,74.6318,1257,42.8334,2.0,12.0,2728,11.0,-999.0,1775,3131,4104,3143
125.0,112500.0,74.5786,1257,42.9082,3.0,10.0,1189,8.0,-999.0,2341,3131,861,3143
112.0,128800.0,74.6165,1257,42.8219,3.0,10.0,1189,2.0,-999.0,2341,3131,4104,2623
61.0,57000.0,74.5644,1372,42.8434,2.0,11.0,2728,8.0,-999.0,1775,3131,4104,3143
65.0,41000.0,74.6038,1257,42.8193,3.0,10.0,2728,5.0,2022.0,2341,3131,272,3143
100.0,80000.0,74.6038,1257,42.8193,3.0,10.0,2728,3.0,2022.0,2341,3131,272,3143
220.0,253000.0,74.6156,1257,42.8242,5.0,12.0,2728,12.0,2015.0,2341,3131,4104,2623
220.0,195000.0,74.5813,1257,42.8771,4.0,10.0,1189,9.0,-999.0,2341,3131,4104,3143
58.0,49500.0,74.6431,1510,42.8392,2.0,10.0,1189,6.0,2020.0,1775,716,272,3143
20.0,13500.0,74.5223,1510,42.8753,1.0,4.0,74,3.0,-999.0,2341,3131,861,3143
67.0,37000.0,74.5628,939,42.8429,2.0,9.0,208,6.0,2020.0,1775,716,4104,2623
18.0,14000.0,74.585,1510,42.846,1.0,5.0,74,5.0,1989.0,2341,716,4104,3143
60.0,36500.0,74.6938,1372,42.8709,2.0,10.0,208,9.0,1990.0,1775,1148,4104,2623
48.0,31500.0,74.5233,1510,42.8742,2.0,2.0,1189,2.0,1970.0,1775,716,4104,3143
55.0,41000.0,74.5987,1510,42.8698,2.0,11.0,1189,10.0,2019.0,1229,716,4104,2623
18.0,14000.0,74.6304,338,42.8421,1.0,4.0,74,2.0,1960.0,1229,3131,277,2623
111.0,89000.0,74.5835,1257,42.8456,4.0,7.0,1189,7.0,-999.0,2341,3131,4104,3143
35.0,26500.0,74.6266,1510,42.8191,1.0,5.0,473,5.0,-999.0,1229,716,4104,3143
86.8,61000.0,74.6318,939,42.8334,2.0,12.0,2728,2.0,-999.0,1775,716,4104,3143
82.0,55000.0,74.6147,1257,42.8666,3.0,9.0,311,9.0,-999.0,2341,3131,4104,3143
73.0,58000.0,74.6186,103,42.8201,2.0,9.0,2728,8.0,2020.0,1775,3131,4104,3143
35.0,32000.0,74.6318,1510,42.8722,1.0,12.0,7,6.0,-999.0,1229,771,4104,3143
90.0,63000.0,74.632,1510,42.8717,5.0,5.0,473,4.0,-999.0,1775,771,4104,3143
58.0,43000.0,74.6112,1510,42.8319,3.0,4.0,374,1.0,-999.0,1229,1148,861,3143
18.5,11800.0,74.6499,1510,42.8612,1.0,2.0,1189,1.0,2017.0,1229,716,272,3143
42.0,33000.0,74.6478,1510,42.8763,2.0,4.0,161,1.0,1963.0,1229,716,4104,2623
72.0,32500.0,74.642,1257,42.8491,2.0,9.0,2728,7.0,-999.0,2341,3131,861,3143
48.0,38500.0,74.6794,1510,42.88,2.0,5.0,2728,2.0,2016.0,1229,716,220,2623
70.0,56000.0,74.5642,1510,42.8351,3.0,9.0,1189,2.0,1997.0,1229,716,4104,2623
58.4,42000.0,74.6228,1510,42.8783,3.0,5.0,374,1.0,-999.0,1229,716,4104,2623
68.0,55000.0,74.6088,1372,42.8561,2.0,10.0,1189,7.0,2018.0,1229,1148,4104,3143
56.0,48000.0,74.6116,1510,42.8679,2.0,3.0,1189,3.0,1960.0,1775,1148,4104,2623
62.0,45000.0,74.6888,1372,42.8752,3.0,5.0,473,3.0,1979.0,1775,716,4104,2623
56.0,35000.0,74.5394,1510,42.8561,3.0,4.0,161,3.0,1976.0,1229,1148,4104,2623
75.5,46500.0,74.6355,939,42.8459,3.0,10.0,2728,6.0,2020.0,2341,3131,4104,3143
44.0,26000.0,74.5559,939,42.8527,1.0,9.0,311,7.0,-999.0,2341,3131,272,3143
46.0,40000.0,74.6136,1510,42.8579,2.0,5.0,473,3.0,1970.0,1775,771,4104,3143
78.26,60000.0,74.6929,1372,42.8737,3.0,11.0,2728,4.0,-999.0,1775,3131,4104,3143
47.0,40000.0,74.6018,1372,42.8622,2.0,4.0,1189,2.0,2017.0,1229,771,277,3143
38.0,28000.0,74.5659,1372,42.8376,1.0,12.0,2728,5.0,2010.0,1229,1148,277,3143
61.8,48000.0,74.6345,338,42.8431,3.0,9.0,311,9.0,-999.0,1775,771,4104,3143
80.0,58000.0,74.6861,1510,42.88,3.0,5.0,2728,4.0,2015.0,1775,1148,4104,3143
45.0,43000.0,74.6766,1372,42.8548,1.0,9.0,2728,5.0,2013.0,1229,771,4104,3143
45.0,38500.0,74.6225,338,42.8319,2.0,4.0,374,3.0,-999.0,2341,3131,4104,3143
51.23,20492.0,74.549,939,42.852,1.0,5.0,1189,1.0,2019.0,1229,3131,220,3143
51.0,32500.0,74.662,1510,42.8798,3.0,4.0,161,3.0,-999.0,1775,3131,4104,3143
70.0,57000.0,74.6736,1372,42.8547,2.0,10.0,2728,8.0,2016.0,1775,1148,4104,3143
61.0,46500.0,74.6308,1510,42.8143,2.0,5.0,473,5.0,1988.0,1775,1148,4104,2623
44.0,35500.0,74.6159,1510,42.8299,2.0,4.0,51,4.0,-999.0,1229,771,4104,3143
42.0,23100.0,74.5323,939,42.8504,-999.0,10.0,1189,1.0,2020.0,12,716,4104,3143
32.0,30000.0,74.6065,1257,42.8431,1.0,4.0,374,1.0,-999.0,2341,3131,861,3143
83.0,83000.0,74.6003,1372,42.8822,2.0,16.0,2728,13.0,2017.0,1775,3131,4104,3143
51.0,29000.0,74.6971,1510,42.8737,2.0,5.0,1189,5.0,-999.0,1775,1148,4104,3143
170.0,139400.0,74.5914,939,42.8785,4.0,12.0,2728,8.0,2017.0,409,3131,4104,3143
