Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
52.0,47000.0,74.5887,хорошее,42.8061,2.0,4.0,индивид. планировка,4.0,,,,центральное,от собственника
43.0,33000.0,74.6269,,42.8394,2.0,4.0,104 серия,1.0,,совмещенный,полностью меблирована,центральное,от агента
87.0,71000.0,74.5932,под самоотделку (псо),42.8717,2.0,13.0,элитка,2.0,,раздельный,,центральное,от собственника
55.0,43000.0,74.5915,под самоотделку (псо),42.8652,2.0,10.0,элитка,5.0,,раздельный,пустая,центральное,от собственника
134.0,90000.0,74.5838,под самоотделку (псо),42.8815,4.0,10.0,элитка,7.0,,раздельный,,центральное,от собственника
82.0,59500.0,74.6174,хорошее,42.8674,3.0,9.0,106 серия,2.0,,раздельный,,центральное,от собственника
73.0,43000.0,74.6815,под самоотделку (псо),42.8585,2.0,7.0,элитка,6.0,2020.0,2 с/у и более,,,от агента
141.0,130000.0,74.6829,евроремонт,42.8803,5.0,10.0,элитка,9.0,2016.0,2 с/у и более,полностью меблирована,центральное,от агента
150.0,129000.0,74.6006,хорошее,42.8343,3.0,9.0,элитка,6.0,,2 с/у и более,частично меблирована,,от собственника
100.0,130000.0,74.6194,евроремонт,42.873,3.0,14.0,элитка,14.0,,2 с/у и более,,центральное,от агента
140.0,115000.0,74.6146,евроремонт,42.8643,4.0,5.0,элитка,4.0,,,,центральное,от агента
135.0,125000.0,74.623,евроремонт,42.8756,3.0,13.0,элитка,5.0,,2 с/у и более,полностью меблирована,центральное,от агента
78.0,81500.0,74.5929,евроремонт,42.8735,2.0,10.0,элитка,7.0,,,,центральное,от агента
57.0,53000.0,74.588,среднее,42.87,2.0,9.0,индивид. планировка,6.0,,,,центральное,от агента
73.0,53500.0,74.6162,под самоотделку (псо),42.8188,2.0,9.0,элитка,6.0,2021.0,,,центральное,от агента
83.5,70000.0,74.6199,хорошее,42.8731,2.0,9.0,индивид. планировка,6.0,,раздельный,полностью меблирована,центральное,от агента
120.0,120000.0,74.6472,евроремонт,42.8769,3.0,10.0,элитка,6.0,2017.0,2 с/у и более,,центральное,от агента
60.0,43000.0,74.6165,хорошее,42.877,2.0,7.0,индивид. планировка,7.0,1984.0,раздельный,частично меблирована,центральное,от собственника
69.0,42000.0,74.606,,42.8567,2.0,12.0,элитка,7.0,,,,центральное,от собственника
56.0,25500.0,74.6274,хорошее,42.8628,2.0,4.0,индивид. планировка,2.0,,раздельный,частично меблирована,электрическое,от собственника
45.0,34500.0,74.6336,евроремонт,42.8494,1.0,9.0,106 серия улучшенная,4.0,2016.0,,,,от агента
39.0,31000.0,74.6353,хорошее,42.8702,1.0,9.0,106 серия улучшенная,8.0,,совмещенный,частично меблирована,центральное,от собственника
48.3,46500.0,74.5907,евроремонт,42.8805,2.0,12.0,элитка,7.0,2019.0,совмещенный,полностью меблирована,центральное,от агента
46.1,35000.0,74.6227,требует ремонта,42.8313,2.0,4.0,104 серия,1.0,,совмещенный,частично меблирована,центральное,от агента
40.0,34000.0,74.6164,хорошее,42.8684,1.0,9.0,106 серия,8.0,,,,центральное,от агента
50.0,44000.0,74.6048,хорошее,42.8291,2.0,9.0,105 серия,5.0,,раздельный,,,от агента
32.0,32500.0,74.6176,хорошее,42.8306,1.0,4.0,104 серия,3.0,,совмещенный,,центральное,от агента
45.0,31500.0,74.6302,хорошее,42.884,1.0,9.0,106 серия улучшенная,3.0,,совмещенный,,,от агента
32.0,30500.0,74.6191,хорошее,42.8668,1.0,5.0,104 серия,2.0,,совмещенный,частично меблирована,центральное,от агента
45.0,33000.0,74.6333,евроремонт,42.8451,1.0,9.0,106 серия улучшенная,8.0,,совмещенный,,электрическое,от агента
34.0,27500.0,74.6895,,42.8763,1.0,9.0,105 серия,8.0,,совмещенный,,центральное,от агента
36.0,31500.0,74.6094,требует ремонта,42.8587,1.0,9.0,106 серия,4.0,,совмещенный,,,от агента
30.0,26500.0,74.5859,требует ремонта,42.8425,1.0,4.0,хрущевка,3.0,,совмещенный,,,от агента
31.0,30500.0,74.5774,хорошее,42.8746,1.0,5.0,индивид. планировка,4.0,,совмещенный,,центральное,от агента
58.0,44500.0,74.6311,хорошее,42.8247,3.0,4.0,104 серия,3.0,,совмещенный,пустая,центральное,от агента
52.0,39500.0,74.6146,хорошее,42.8654,2.0,9.0,106 серия,9.0,,раздельный,,центральное,от агента
58.0,47500.0,74.614,евроремонт,42.8365,3.0,4.0,104 серия,4.0,,совмещенный,частично меблирована,центральное,от агента
106.0,76500.0,74.6097,,42.8499,3.0,10.0,элитка,2.0,,,,центральное,от агента
65.0,42500.0,74.6621,хорошее,42.8778,3.0,4.0,индивид. планировка,2.0,,раздельный,,центральное,от агента
49.0,29481.0,74.5474,хорошее,42.8886,3.0,2.0,индивид. планировка,2.0,1973.0,раздельный,частично меблирована,центральное,от собственника
80.0,74292.0,74.6016,евроремонт,42.8652,2.0,9.0,индивид. планировка,4.0,2017.0,раздельный,полностью меблирована,центральное,от агента
37.0,25590.0,74.6905,хорошее,42.8757,1.0,4.0,104 серия улучшенная,1.0,1977.0,совмещенный,частично меблирована,центральное,от агента
