,Общая площадь,Долгота,Состояние,Широта,Количество комнат,Количество просмотров,Всего этажей,Серия,Этаж,Длина описания,Год постройки,Высота потолков,Мебель,Возможность обмена,Отопление,Тип предложения,Санузел,кондиционер
108,100.0,74.6194,1372,42.873,3.0,25,14.0,2728,14.0,576,-999.0,4.0,3131,3843,4104,2623,409,0
109,140.0,74.6146,1372,42.8643,4.0,53,5.0,2728,4.0,455,-999.0,-999.0,3131,3843,4104,2623,2341,0
110,135.0,74.623,1372,42.8756,3.0,117,13.0,2728,5.0,642,-999.0,-999.0,771,3843,4104,2623,409,0
111,78.0,74.5929,1372,42.8735,2.0,49,10.0,2728,7.0,482,-999.0,-999.0,3131,3843,4104,2623,2341,0
112,57.0,74.588,338,42.87,2.0,42,9.0,1189,6.0,444,-999.0,-999.0,3131,3843,4104,2623,2341,0
113,73.0,74.6162,939,42.8188,2.0,26,9.0,2728,6.0,541,2021.0,3.0,3131,3843,4104,2623,2341,0
114,83.5,74.6199,1510,42.8731,2.0,34,9.0,1189,6.0,503,-999.0,-999.0,771,3843,4104,2623,1775,0
115,120.0,74.6472,1372,42.8769,3.0,36,10.0,2728,6.0,622,2017.0,3.0,3131,3843,4104,2623,409,0
116,60.0,74.6165,1510,42.877,2.0,103,7.0,1189,7.0,337,1984.0,2.8,1148,909,4104,3143,1775,0
117,69.0,74.606,1257,42.8567,2.0,6,12.0,2728,7.0,672,-999.0,3.0,3131,3843,4104,3143,2341,0
118,56.0,74.6274,1510,42.8628,2.0,9748,4.0,1189,2.0,3,-999.0,2.7,1148,909,277,3143,1775,0
119,45.0,74.6336,1372,42.8494,1.0,2,9.0,208,4.0,366,2016.0,-999.0,3131,3843,861,2623,2341,0
120,39.0,74.6353,1510,42.8702,1.0,84,9.0,208,8.0,353,-999.0,-999.0,1148,3843,4104,3143,1229,0
121,48.3,74.5907,1372,42.8805,2.0,197,12.0,2728,7.0,564,2019.0,3.25,771,3843,4104,2623,1229,0
122,46.1,74.6227,194,42.8313,2.0,71,4.0,374,1.0,482,-999.0,-999.0,1148,909,4104,2623,1229,0
123,40.0,74.6164,1510,42.8684,1.0,8,9.0,311,8.0,374,-999.0,-999.0,3131,3843,4104,2623,2341,0
124,50.0,74.6048,1510,42.8291,2.0,9,9.0,473,5.0,3,-999.0,-999.0,3131,3843,861,2623,1775,0
125,32.0,74.6176,1510,42.8306,1.0,12,4.0,374,3.0,215,-999.0,-999.0,3131,3843,4104,2623,1229,0
126,45.0,74.6302,1510,42.884,1.0,22,9.0,208,3.0,179,-999.0,-999.0,3131,3843,861,2623,1229,0
127,32.0,74.6191,1510,42.8668,1.0,38,5.0,374,2.0,167,-999.0,-999.0,1148,3843,4104,2623,1229,0
128,45.0,74.6333,1372,42.8451,1.0,52,9.0,208,8.0,3,-999.0,-999.0,3131,3843,277,2623,1229,0
129,34.0,74.6895,1257,42.8763,1.0,34,9.0,473,8.0,201,-999.0,-999.0,3131,3843,4104,2623,1229,0
130,36.0,74.6094,194,42.8587,1.0,25,9.0,311,4.0,162,-999.0,-999.0,3131,3843,861,2623,1229,0
131,30.0,74.5859,194,42.8425,1.0,44,4.0,161,3.0,183,-999.0,-999.0,3131,3843,861,2623,1229,0
132,31.0,74.5774,1510,42.8746,1.0,50,5.0,1189,4.0,3,-999.0,-999.0,3131,3843,4104,2623,1229,0
133,58.0,74.6311,1510,42.8247,3.0,58,4.0,374,3.0,3,-999.0,-999.0,716,3843,4104,2623,1229,0
134,52.0,74.6146,1510,42.8654,2.0,34,9.0,311,9.0,161,-999.0,-999.0,3131,3843,4104,2623,1775,0
135,58.0,74.614,1372,42.8365,3.0,15,4.0,374,4.0,246,-999.0,-999.0,1148,3843,4104,2623,1229,0
136,106.0,74.6097,1257,42.8499,3.0,14,10.0,2728,2.0,315,-999.0,-999.0,3131,3843,4104,2623,2341,0
137,65.0,74.6621,1510,42.8778,3.0,17,4.0,1189,2.0,480,-999.0,-999.0,3131,3843,4104,2623,1775,0
138,49.0,74.5474,1510,42.8886,3.0,925,2.0,1189,2.0,352,1973.0,-999.0,1148,909,4104,3143,1775,0
139,80.0,74.6016,1372,42.8652,2.0,872,9.0,1189,4.0,265,2017.0,-999.0,771,3843,4104,2623,1775,1
140,37.0,74.6905,1510,42.8757,1.0,441,4.0,51,1.0,335,1977.0,-999.0,1148,909,4104,2623,1229,0
141,102.0,74.5996,103,42.8836,2.0,210,12.0,1189,12.0,310,2014.0,-999.0,3131,3843,4104,2623,1775,0
142,30.0,74.5257,338,42.8893,1.0,792,2.0,161,2.0,261,1969.0,-999.0,716,721,4104,3143,1229,0
143,81.0,74.5804,1372,42.8802,2.0,905,10.0,2728,9.0,584,2016.0,3.0,771,3843,4104,3143,1775,1
144,80.0,74.6218,1510,42.8295,3.0,19,12.0,2728,3.0,3,2019.0,-999.0,1148,3843,4104,3143,1775,0
145,100.0,74.6187,1510,42.8775,3.0,138,7.0,1189,3.0,115,-999.0,-999.0,3131,721,4104,3143,2341,0
146,37.4,74.6247,1510,42.8138,1.0,370,10.0,2728,9.0,384,2020.0,-999.0,1148,721,861,3143,2341,0
147,40.0,74.6877,1510,42.8551,1.0,3,9.0,311,3.0,341,-999.0,-999.0,3131,3843,4104,2623,2341,0
148,120.0,74.6143,1510,42.835,3.0,2,9.0,2728,6.0,876,-999.0,-999.0,771,3843,220,2623,1775,0
149,85.0,74.5995,939,42.8836,2.0,124,12.0,1189,12.0,310,2014.0,-999.0,3131,3843,4104,2623,1775,0
150,35.0,74.5773,338,42.8723,1.0,874,5.0,161,1.0,601,1977.0,3.0,1148,3843,4104,2623,1229,0
151,34.0,74.6322,194,42.8737,1.0,131,5.0,473,1.0,250,-999.0,-999.0,716,3843,4104,2623,1229,0
152,73.0,74.5884,1257,42.8545,2.0,8,10.0,2728,9.0,294,2018.0,3.0,3131,3843,4104,3143,2341,0
153,44.0,74.6267,1372,42.839,2.0,9,4.0,374,1.0,414,-999.0,-999.0,3131,3843,4104,2623,1229,0
154,58.0,74.6231,338,42.8362,3.0,273,4.0,374,4.0,312,1980.0,2.8,1148,909,4104,3143,1229,0
155,113.0,74.6381,939,42.8128,3.0,2452,12.0,2728,11.0,378,2015.0,3.0,716,3843,4104,3143,1775,0
156,63.0,74.6786,338,42.8798,3.0,90,9.0,473,8.0,320,1989.0,-999.0,1148,721,4104,3143,1775,0
