Общая площадь,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
90.0,74.575,1372,42.8419,3.0,12.0,2731,11.0,-999.0,2353,3131,4104,2623
35.0,74.6889,338,42.854,1.0,9.0,530,8.0,-999.0,1229,716,4104,3143
118.0,74.6007,1372,42.8827,4.0,10.0,1189,7.0,-999.0,409,771,4104,3143
43.0,74.5764,1510,42.8825,1.0,9.0,1189,4.0,2005.0,1229,771,4104,3143
60.0,74.5476,1510,42.8885,3.0,2.0,1189,1.0,-999.0,1775,1148,220,3143
42.0,74.6432,1257,42.8434,1.0,5.0,425,5.0,-999.0,2353,3131,867,2623
56.0,74.6361,194,42.8756,3.0,5.0,1189,2.0,-999.0,2353,3131,4104,2623
74.0,74.5873,1510,42.8447,3.0,3.0,56,3.0,1962.0,2353,1148,4104,2623
132.0,74.5841,194,42.8228,3.0,13.0,2731,11.0,2020.0,1775,3131,867,2623
87.6,74.593,1372,42.8725,3.0,12.0,2731,8.0,2015.0,409,1148,4104,3143
65.0,74.6025,1257,42.831,3.0,4.0,425,4.0,-999.0,2353,3131,4104,2623
101.7,74.6173,939,42.8642,3.0,14.0,2731,3.0,-999.0,409,3131,4104,3143
48.0,74.6252,1510,42.8209,3.0,4.0,425,4.0,1960.0,1229,716,4104,2623
44.0,74.5655,1257,42.839,1.0,9.0,519,2.0,-999.0,2353,3131,867,3143
43.0,74.6214,1510,42.8676,2.0,5.0,425,4.0,-999.0,2353,1148,4104,3143
29.0,74.5398,1372,42.8816,2.0,3.0,74,3.0,-999.0,1775,771,867,3143
71.0,74.5817,939,42.8821,2.0,12.0,2731,9.0,2021.0,409,3131,272,3143
70.0,74.6225,1372,42.82,3.0,9.0,519,3.0,-999.0,1775,771,4104,2623
66.0,74.5761,1372,42.8753,3.0,5.0,1189,2.0,1972.0,1775,716,4104,2623
112.0,74.5883,939,42.863,3.0,12.0,2731,12.0,-999.0,409,716,4104,2623
69.0,74.6126,1372,42.8661,3.0,9.0,519,1.0,-999.0,2353,3131,4104,3143
83.4,74.5861,939,42.8258,2.0,12.0,2731,9.0,-999.0,2353,3131,220,3143
52.0,74.6045,1510,42.8302,2.0,5.0,530,3.0,-999.0,1775,3131,4104,2623
135.0,74.6204,1257,42.8804,3.0,17.0,2731,5.0,2019.0,2353,3131,4104,2623
99.0,74.6238,939,42.8172,2.0,12.0,2731,11.0,2021.0,2353,3131,867,3143
98.8,74.586,1257,42.8242,4.0,10.0,2731,2.0,-999.0,2353,3131,867,3143
49.0,74.567,1510,42.8302,2.0,13.0,2731,9.0,2016.0,1229,771,4104,2623
